Sample,,,,,,,,S1P d16:1 [M>113] Method,,,,S1P d16:1 [M>113] Results,,,,S1P d16:1 [M>60] Method,,,,S1P d16:1 [M>60] Results,,,,S1P d17:1 [M>113] Method,,,,S1P d17:1 [M>113] Results,,,,S1P d17:1 [M>60] Method,,,,S1P d17:1 [M>60] Results,,,,S1P d18:0 [M>113] Method,,,,S1P d18:0 [M>113] Results,,,,S1P d18:0 [M>60] Method,,,,S1P d18:0 [M>60] Results,,,,S1P d18:1 [M>113] Method,,,,S1P d18:1 [M>113] Results,,,,S1P d18:1 [M>60] Method,,,,S1P d18:1 [M>60] Results,,,,S1P d18:1 13C2D2 (ISTD) [M>113] Method,,,,S1P d18:1 13C2D2 (ISTD) [M>113] Results,,,,S1P d18:1 13C2D2 (ISTD) [M>60] Method,,,,S1P d18:1 13C2D2 (ISTD) [M>60] Results,,,,S1P d18:2 [M>113] Method,,,,S1P d18:2 [M>113] Results,,,,S1P d18:2 [M>60] Method,,,,S1P d18:2 [M>60] Results,,,,S1P d19:1 [M>113] Method,,,,S1P d19:1 [M>113] Results,,,,S1P d19:1 [M>60] Method,,,,S1P d19:1 [M>60] Results,,,,S1P d20:1 [M>113] Method,,,,S1P d20:1 [M>113] Results,,,,S1P d20:1 [M>60] Method,,,,S1P d20:1 [M>60] Results,,,
,Quantitation Message,Data File,Name,Type,Level,Acq. Date-Time,Pos.,Ion Polarity,Precursor Ion,Product Ion,Collision Energy,RT,Area,FWHM,MI,Ion Polarity,Precursor Ion,Product Ion,Collision Energy,RT,Area,FWHM,MI,Ion Polarity,Precursor Ion,Product Ion,Collision Energy,RT,Area,FWHM,MI,Ion Polarity,Precursor Ion,Product Ion,Collision Energy,RT,Area,FWHM,MI,Ion Polarity,Precursor Ion,Product Ion,Collision Energy,RT,Area,FWHM,MI,Ion Polarity,Precursor Ion,Product Ion,Collision Energy,RT,Area,FWHM,MI,Ion Polarity,Precursor Ion,Product Ion,Collision Energy,RT,Area,FWHM,MI,Ion Polarity,Precursor Ion,Product Ion,Collision Energy,RT,Area,FWHM,MI,Ion Polarity,Precursor Ion,Product Ion,Collision Energy,RT,Area,FWHM,MI,Ion Polarity,Precursor Ion,Product Ion,Collision Energy,RT,Area,FWHM,MI,Ion Polarity,Precursor Ion,Product Ion,Collision Energy,RT,Area,FWHM,MI,Ion Polarity,Precursor Ion,Product Ion,Collision Energy,RT,Area,FWHM,MI,Ion Polarity,Precursor Ion,Product Ion,Collision Energy,RT,Area,FWHM,MI,Ion Polarity,Precursor Ion,Product Ion,Collision Energy,RT,Area,FWHM,MI,Ion Polarity,Precursor Ion,Product Ion,Collision Energy,RT,Area,FWHM,MI,Ion Polarity,Precursor Ion,Product Ion,Collision Energy,RT,Area,FWHM,MI
,,001_EQC_TQC prerun 01.d,001_EQC_TQC prerun 01,Sample,,4/19/2018 17:46,Vial 2,Positive,408.3,113,29,3.471,1525,0.057,FALSE,Positive,408.3,60.1,29,3.471,5759,0.057,FALSE,Positive,422.3,113,29,3.437,1258,0.064,FALSE,Positive,422.3,60.1,29,3.437,4470,0.056,FALSE,Positive,438.3,113,29,3.384,8953,0.058,FALSE,Positive,438.3,60.1,29,3.393,16035,0.059,FALSE,Positive,436.3,113,29,3.41,29728,0.055,FALSE,Positive,436.3,60.1,29,3.41,135890,0.055,FALSE,Positive,440.3,113,29,3.408,8617,0.057,FALSE,Positive,440.3,60.1,29,3.408,38791,0.056,FALSE,Positive,434.3,113,29,3.436,4990,0.057,FALSE,Positive,434.3,60.1,29,3.436,20921,0.055,FALSE,Positive,450.4,113,29,3.382,647,0.076,FALSE,Positive,450.4,60.1,29,3.382,3237,0.057,FALSE,Positive,464.4,113,29,3.265,37,0.033,FALSE,Positive,464.4,60.1,29,3.348,863,0.06,FALSE
,,002_EQC_TQC prerun 02.d,002_EQC_TQC prerun 02,Sample,,4/19/2018 17:56,Vial 2,Positive,408.3,113,29,3.455,1686,0.057,FALSE,Positive,408.3,60.1,29,3.463,6308,0.055,FALSE,Positive,422.3,113,29,3.429,1531,0.059,FALSE,Positive,422.3,60.1,29,3.429,4472,0.056,FALSE,Positive,438.3,113,29,3.376,9403,0.059,FALSE,Positive,438.3,60.1,29,3.384,17410,0.059,FALSE,Positive,436.3,113,29,3.402,31714,0.055,FALSE,Positive,436.3,60.1,29,3.402,135399,0.055,FALSE,Positive,440.3,113,29,3.4,9075,0.056,FALSE,Positive,440.3,60.1,29,3.4,39307,0.056,FALSE,Positive,434.3,113,29,3.428,5007,0.056,FALSE,Positive,434.3,60.1,29,3.428,21184,0.056,FALSE,Positive,450.4,113,29,3.374,326,0.099,FALSE,Positive,450.4,60.1,29,3.366,2794,0.057,FALSE,Positive,464.4,113,29,3.348,278,0.099,FALSE,Positive,464.4,60.1,29,3.34,683,0.121,FALSE
,,003_EQC_TQC prerun 03.d,003_EQC_TQC prerun 03,Sample,,4/19/2018 18:07,Vial 2,Positive,408.3,113,29,3.463,1664,0.057,FALSE,Positive,408.3,60.1,29,3.463,5637,0.055,FALSE,Positive,422.3,113,29,3.429,1418,0.059,FALSE,Positive,422.3,60.1,29,3.429,4551,0.057,FALSE,Positive,438.3,113,29,3.376,9231,0.058,FALSE,Positive,438.3,60.1,29,3.384,15379,0.061,FALSE,Positive,436.3,113,29,3.402,32279,0.056,FALSE,Positive,436.3,60.1,29,3.402,149302,0.054,FALSE,Positive,440.3,113,29,3.4,9162,0.056,FALSE,Positive,440.3,60.1,29,3.4,37571,0.056,FALSE,Positive,434.3,113,29,3.436,5099,0.056,FALSE,Positive,434.3,60.1,29,3.436,21379,0.056,FALSE,Positive,450.4,113,29,3.266,118,0.063,FALSE,Positive,450.4,60.1,29,3.374,3035,0.057,FALSE,Positive,464.4,113,29,3.257,115,0.062,FALSE,Positive,464.4,60.1,29,3.34,889,0.06,FALSE
,,004_EQC_TQC prerun 04.d,004_EQC_TQC prerun 04,Sample,,4/19/2018 18:17,Vial 2,Positive,408.3,113,29,3.463,1740,0.055,FALSE,Positive,408.3,60.1,29,3.463,5780,0.056,FALSE,Positive,422.3,113,29,3.429,1339,0.061,TRUE,Positive,422.3,60.1,29,3.429,4613,0.056,FALSE,Positive,438.3,113,29,3.376,9814,0.057,FALSE,Positive,438.3,60.1,29,3.384,16219,0.06,FALSE,Positive,436.3,113,29,3.402,34664,0.055,FALSE,Positive,436.3,60.1,29,3.402,139027,0.055,FALSE,Positive,440.3,113,29,3.4,9197,0.055,FALSE,Positive,440.3,60.1,29,3.4,39008,0.056,FALSE,Positive,434.3,113,29,3.436,5447,0.056,FALSE,Positive,434.3,60.1,29,3.436,22510,0.056,FALSE,Positive,450.4,113,29,3.382,663,0.074,FALSE,Positive,450.4,60.1,29,3.374,3045,0.055,FALSE,Positive,464.4,113,29,3.34,320,0.064,FALSE,Positive,464.4,60.1,29,3.34,833,0.032,FALSE
,,005_EQC_TQC prerun 05.d,005_EQC_TQC prerun 05,Sample,,4/19/2018 18:27,Vial 2,Positive,408.3,113,29,3.463,1805,0.057,FALSE,Positive,408.3,60.1,29,3.463,6697,0.054,FALSE,Positive,422.3,113,29,3.429,1449,0.062,FALSE,Positive,422.3,60.1,29,3.429,4276,0.057,FALSE,Positive,438.3,113,29,3.376,10329,0.057,FALSE,Positive,438.3,60.1,29,3.384,17599,0.06,FALSE,Positive,436.3,113,29,3.402,34646,0.055,FALSE,Positive,436.3,60.1,29,3.402,139084,0.055,FALSE,Positive,440.3,113,29,3.4,9552,0.055,FALSE,Positive,440.3,60.1,29,3.4,37881,0.056,FALSE,Positive,434.3,113,29,3.436,4993,0.056,FALSE,Positive,434.3,60.1,29,3.436,21085,0.055,FALSE,Positive,450.4,113,29,3.266,85,0.045,FALSE,Positive,450.4,60.1,29,3.374,3026,0.057,FALSE,Positive,464.4,113,29,3.257,41,0.027,FALSE,Positive,464.4,60.1,29,3.34,618,0.116,FALSE
,S1P d20:1 [M>113]: The retention times of all integrated peak groups lie outside the compound's identification time range.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,006_EBLK_Extracted Blank+ISTD01.d,006_EBLK_Extracted Blank+ISTD01,Sample,,4/19/2018 18:37,P1-A1,Positive,408.3,113,29,3.422,71,0.082,TRUE,Positive,408.3,60.1,29,3.422,51,0.032,TRUE,Positive,422.3,113,29,3.412,197,0.077,TRUE,Positive,422.3,60.1,29,3.387,163,0.102,TRUE,Positive,438.3,113,29,3.335,530,0.139,TRUE,Positive,438.3,60.1,29,3.434,234,0.141,TRUE,Positive,436.3,113,29,3.377,152,0.074,TRUE,Positive,436.3,60.1,29,3.385,191,0.147,TRUE,Positive,440.3,113,29,3.4,9345,0.055,FALSE,Positive,440.3,60.1,29,3.4,43545,0.054,FALSE,Positive,434.3,113,29,3.428,176,0.094,TRUE,Positive,434.3,60.1,29,3.37,82,0.117,TRUE,Positive,450.4,113,29,3.357,108,0.077,FALSE,Positive,450.4,60.1,29,3.349,109,0.085,TRUE,Positive,464.4,113,29,,,,FALSE,Positive,464.4,60.1,29,3.365,23,0.028,FALSE,
,,007_SOLV_Blank01.d,007_SOLV_Blank01,Sample,,4/19/2018 18:48,Vial 1,Positive,408.3,113,29,3.438,221,0.069,TRUE,Positive,408.3,60.1,29,3.471,29,0.061,FALSE,Positive,422.3,113,29,3.362,160,0.156,TRUE,Positive,422.3,60.1,29,3.437,22,0.056,FALSE,Positive,438.3,113,29,3.31,240,0,TRUE,Positive,438.3,60.1,29,3.384,138,0.098,TRUE,Positive,436.3,113,29,3.402,155,0.149,TRUE,Positive,436.3,60.1,29,3.369,62,0.034,TRUE,Positive,440.3,113,29,3.425,355,0.036,TRUE,Positive,440.3,60.1,29,3.45,143,0.091,TRUE,Positive,434.3,113,29,3.486,180,0.176,TRUE,Positive,434.3,60.1,29,3.453,68,0.074,TRUE,Positive,450.4,113,29,3.308,142,0.059,FALSE,Positive,450.4,60.1,29,3.349,70,0.015,TRUE,Positive,464.4,113,29,3.273,71,0.051,FALSE,Positive,464.4,60.1,29,3.307,32,0.051,FALSE
,,008_LTR_LTR01.d,008_LTR_LTR01,Sample,,4/19/2018 18:58,P1-A2,Positive,408.3,113,29,3.463,3385,0.057,FALSE,Positive,408.3,60.1,29,3.463,11181,0.05,FALSE,Positive,422.3,113,29,3.437,929,0.065,FALSE,Positive,422.3,60.1,29,3.429,2760,0.056,FALSE,Positive,438.3,113,29,3.376,6530,0.057,FALSE,Positive,438.3,60.1,29,3.384,9919,0.059,FALSE,Positive,436.3,113,29,3.402,20585,0.054,FALSE,Positive,436.3,60.1,29,3.402,85299,0.055,FALSE,Positive,440.3,113,29,3.4,13335,0.054,FALSE,Positive,440.3,60.1,29,3.4,56121,0.055,FALSE,Positive,434.3,113,29,3.436,7519,0.055,FALSE,Positive,434.3,60.1,29,3.436,31526,0.056,FALSE,Positive,450.4,113,29,3.283,216,0.078,FALSE,Positive,450.4,60.1,29,3.374,1638,0.058,FALSE,Positive,464.4,113,29,3.323,174,0.078,FALSE,Positive,464.4,60.1,29,3.34,206,0.077,FALSE
,,009_NIST_NIST01.d,009_NIST_NIST01,Sample,,4/19/2018 19:08,P1-A3,Positive,408.3,113,29,3.463,2666,0.056,FALSE,Positive,408.3,60.1,29,3.463,10625,0.055,FALSE,Positive,422.3,113,29,3.429,877,0.064,FALSE,Positive,422.3,60.1,29,3.429,2068,0.059,FALSE,Positive,438.3,113,29,3.376,6221,0.056,FALSE,Positive,438.3,60.1,29,3.384,11335,0.059,FALSE,Positive,436.3,113,29,3.402,17097,0.056,FALSE,Positive,436.3,60.1,29,3.402,71386,0.056,FALSE,Positive,440.3,113,29,3.4,9299,0.053,FALSE,Positive,440.3,60.1,29,3.4,41586,0.055,FALSE,Positive,434.3,113,29,3.436,5405,0.056,FALSE,Positive,434.3,60.1,29,3.436,21654,0.056,FALSE,Positive,450.4,113,29,3.374,218,0.056,FALSE,Positive,450.4,60.1,29,3.374,1739,0.058,FALSE,Positive,464.4,113,29,3.265,66,0.048,FALSE,Positive,464.4,60.1,29,3.348,224,0.08,TRUE
